epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1501.48,0.84107,0.9446,1.35732,0.8865,0.75,0.81626,0.57581,1.08623,1.08652,1.83251,0.000280723,0.000280723,0.000280723
86,1523.26,0.83016,0.83297,1.33438,0.888,0.75,0.82182,0.5637,1.08442,1.07268,1.81328,0.00026422,0.00026422,0.00026422
87,1546.26,0.87338,0.91187,1.35254,0.75186,0.82273,0.86597,0.57283,1.08804,1.05505,1.79871,0.000247716,0.000247716,0.000247716
88,1567.58,0.86056,0.84322,1.31956,0.79033,0.85714,0.86542,0.56972,1.06319,1.05023,1.75849,0.000231213,0.000231213,0.000231213
89,1587.7,0.88485,1.29038,1.3287,0.73946,0.85714,0.82459,0.57103,1.07085,1.03553,1.76252,0.00021471,0.00021471,0.00021471
90,1606.92,0.82844,0.81357,1.32627,0.75864,0.85714,0.82324,0.56733,1.06451,1.03173,1.76009,0.000198206,0.000198206,0.000198206
91,1621.47,0.90388,1.16012,1.53328,0.76227,0.85714,0.82112,0.57747,1.06012,1.02953,1.7554,0.000181703,0.000181703,0.000181703
92,1636.17,0.79272,1.06276,1.44152,0.73487,0.85714,0.83348,0.59155,1.07197,1.02606,1.76352,0.0001652,0.0001652,0.0001652
93,1650.29,0.84064,1.07634,1.51589,0.72521,0.89286,0.84189,0.58646,1.06825,1.03622,1.76031,0.000148696,0.000148696,0.000148696
94,1665.26,0.82327,0.94668,1.37223,0.70739,0.89286,0.83249,0.58175,1.04184,1.07432,1.74217,0.000132193,0.000132193,0.000132193
95,1679.97,0.87484,0.96527,1.45744,0.73677,0.9412,0.85233,0.58524,1.04792,1.11765,1.76302,0.00011569,0.00011569,0.00011569
96,1694.96,0.81421,0.90101,1.42143,0.76896,0.92857,0.86502,0.58247,1.06829,1.12942,1.77497,9.91865e-05,9.91865e-05,9.91865e-05
97,1708.8,0.83688,0.93104,1.49222,0.7756,0.92857,0.86234,0.56783,1.07497,1.15329,1.78449,8.26832e-05,8.26832e-05,8.26832e-05
98,1722.63,0.72811,0.89744,1.3259,0.76624,0.92857,0.86174,0.56404,1.08703,1.16833,1.79134,6.61799e-05,6.61799e-05,6.61799e-05
99,1737.23,0.81947,0.97427,1.51042,0.7719,0.92857,0.86207,0.57127,1.09822,1.16223,1.79979,4.96766e-05,4.96766e-05,4.96766e-05
100,1753.7,0.78574,0.99801,1.47067,0.73419,0.92857,0.86264,0.573,1.09522,1.15969,1.79891,3.31733e-05,3.31733e-05,3.31733e-05
