perimeter,area,height,width,shape_index,compactness,weight
348.4924211502075,7938.5,88,117,132.95454545454547,0.8214131245447577,56.0
354.0071414709091,7983.5,87,117,134.48275862068965,0.8005328300912168,56.0
349.90663480758667,8043.0,88,116,131.8181818181818,0.8255123554219043,58.0
346.93607091903687,7949.0,87,116,133.33333333333331,0.8298955760622577,56.0
349.6639943122864,8023.5,88,117,132.95454545454547,0.8246542324877855,56.0
353.4213536977768,7888.0,84,116,138.0952380952381,0.7935808768169613,56.0
340.9360717535019,7492.0,86,111,129.06976744186048,0.8099565593742017,52.0
339.5218584537506,7617.5,88,110,125.0,0.8303990583619452,54.0
342.249782204628,7762.0,88,112,127.27272727272727,0.83271644517849,54.0
343.07820749282837,7728.0,90,110,122.22222222222223,0.8250698415091817,56.0
342.24977910518646,7669.0,85,113,132.94117647058823,0.8227393112264823,56.0
